Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,1,0,45,3,819,-999,2.623,0.99301,1.5116,1.5116,0.69941,26
100,1,0,15,1,819,-999,1.9508,1.8846,-0.066193,0.066193,0.68555,179
100,1,0,30,2,819,-999,0.24421,0.52317,0.27896,0.27896,0.7345,158
100,1,0,30,2,819,-999,1.3649,1.8975,0.53261,0.53261,0.67543,142
100,1,0,30,2,819,-999,1.2124,0.97269,-0.23972,0.23972,0.55288,161
100,1,0,45,3,819,-999,0.42054,2.8214,-0.74072,0.74072,0.54899,131
100,1,0,30,2,819,-999,3.1081,0.16739,0.20089,0.20089,0.55694,3
100,0,0,30,2,819,-999,2.2623,1.9913,-0.27101,0.27101,0.65183,117
100,0,0,15,1,819,-999,2.7234,2.4969,-0.22647,0.22647,0.68628,124
100,0,0,15,1,819,-999,0.056935,0.099669,0.042734,0.042734,0.80525,167
100,0,0,15,1,819,-999,1.1126,1.249,0.13642,0.13642,0.78217,141
100,0,0,45,3,819,-999,2.3134,2.4847,0.17134,0.17134,0.75224,134
100,0,0,45,3,819,-999,2.8474,2.5402,-0.30717,0.30717,0.94644,112
100,0,0,45,3,819,-999,0.51674,1.0138,0.49711,0.49711,1.1129,87
100,0,0,15,1,819,-999,2.4035,2.5264,0.12286,0.12286,0.74406,144
100,0,0,45,3,819,-999,0.13892,0.59817,0.45924,0.45924,1.2966,92
100,0,0,15,1,819,-999,2.8798,2.997,0.11715,0.11715,2.499,145
100,0,0,15,1,819,-999,0.15787,0.22294,0.065069,0.065069,0.72515,159
100,0,0,45,3,819,-999,0.53791,2.2018,-1.4777,1.4777,1.0725,6
100,0,0,30,2,819,-999,1.1138,1.3992,0.28534,0.28534,0.75221,115
100,0,0,30,2,819,-999,1.669,1.9369,0.26784,0.26784,0.75538,117
100,0,0,45,3,819,-999,2.7055,2.5351,-0.17043,0.17043,0.75981,134
